"","epi_ctry","epi_subj","score_first5","score_propall"
"172","US",10558,0,0
"173","US",10559,2,0.4
"174","US",10560,2,0.4
"175","US",10561,0,0
"176","US",10562,2,0.4
"177","US",10563,2,0.4
"178","US",10564,0,0
"179","US",10565,2,0.4
"180","US",10566,0,0
"181","US",10567,0,0
"182","US",10568,4,0.8
"183","US",10569,1,0.2
"184","US",10570,0,0
"185","US",10571,0,0
"186","US",10572,1,0.2
"187","US",10573,0,0
"188","US",10574,0,0
"189","US",10575,1,0.2
"190","US",10576,1,0.2
"191","US",10577,0,0
"192","US",10578,1,0.2
"193","US",10579,4,0.8
"194","US",10580,3,0.6
"195","US",10581,0,0
"196","US",10582,0,0
"197","US",10583,0,0
"198","US",10584,1,0.2
"199","US",10585,1,0.2
"200","US",10586,1,0.2
"201","US",10587,1,0.2
"202","US",10588,0,0
"203","US",10589,1,0.2
"204","US",10590,2,0.4
"205","US",10591,1,0.2
"206","US",10592,1,0.2
"207","US",10593,0,0
"208","US",10594,1,0.2
"209","US",10595,0,0
"210","US",10596,1,0.2
"211","US",10597,2,0.4
"212","US",10598,1,0.2
"213","US",10599,3,0.6
"214","US",10600,1,0.2
"215","US",10601,1,0.2
"216","US",10602,1,0.2
"217","US",10603,2,0.4
"218","US",10604,1,0.2
"219","US",10605,1,0.2
"220","US",10606,4,0.8
"221","US",10608,0,0
"222","US",10609,1,0.2
"223","US",10610,1,0.2
"224","US",10611,2,0.4
"225","US",10612,2,0.4
"226","US",10613,1,0.2
"227","Ghana",40601,0,0
"228","Ghana",40602,1,0.2
"229","Ghana",40603,2,0.4
"230","Ghana",40604,2,0.5
"231","Ghana",40605,2,0.4
"232","Ghana",40606,0,0
"233","Ghana",40607,0,0
"234","Ghana",40608,2,0.4
"235","Ghana",40609,2,0.4
"236","Ghana",40610,0,0
"237","Ghana",40611,0,0
"238","Ghana",40612,0,0
"239","Ghana",40613,1,0.2
"240","Ghana",40614,0,0
"241","Ghana",40615,0,0
"242","Ghana",40616,0,0
"243","Ghana",40617,0,0
"244","Ghana",40618,0,0
"245","Ghana",40619,0,0
"246","Ghana",40620,1,0.2
"247","Ghana",40621,0,0
"248","Ghana",40622,0,0
"249","Ghana",40623,0,0
"250","Ghana",40624,0,0
"251","Ghana",40625,0,0
"252","Ghana",40626,0,0
"253","Ghana",40627,1,0.2
"254","Ghana",40628,0,0
"255","Ghana",40629,0,0
"256","Ghana",40630,1,0.2
"257","Ghana",40631,0,0
"258","Ghana",40632,0,0
"259","Ghana",40633,1,0.2
"260","Ghana",40634,0,0
"261","Ghana",40635,2,0.4
"262","Ghana",40636,0,0
"263","Ghana",40637,1,0.25
"264","Ghana",40638,3,0.6
"265","Ghana",40639,0,0
"266","Ghana",40640,2,0.4
"267","Ghana",40641,0,0
"268","Ghana",40642,0,0
"269","Ghana",40643,0,0
"270","Ghana",40644,0,0
"271","Ghana",40645,0,0
"272","Ghana",40646,1,0.2
"273","Ghana",40647,1,0.2
"274","Ghana",40648,0,0
"275","Ghana",40649,4,0.8
"276","Ghana",40650,3,0.6
"277","Ghana",40651,0,0
"278","Ghana",40652,1,0.2
"279","Ghana",40653,0,0
"280","Ghana",40654,4,0.8
"281","Ghana",40655,1,0.25
"282","Ghana",40656,0,0
"283","Ghana",40657,0,0
"284","Ghana",40658,0,0
"285","Ghana",40659,1,0.2
"286","Ghana",40660,4,0.8
"287","Ghana",40661,3,0.6
"288","Ghana",40662,0,0
"289","Ghana",40663,3,0.6
"290","Ghana",40664,3,0.75
"291","Ghana",40665,0,0
"292","Ghana",40666,0,0
"293","Ghana",40667,1,0.2
"294","Ghana",40668,0,0
"295","Ghana",40669,4,0.8
"296","Ghana",40670,0,0
"297","Ghana",40671,2,0.5
"298","Ghana",40672,0,0
"299","Ghana",40673,0,0
"300","Ghana",40674,1,0.2
"301","Ghana",40675,3,0.6
"302","Ghana",40676,0,0
"303","Ghana",40677,0,0
"304","Ghana",40678,2,0.4
"305","Ghana",40679,2,0.4
"306","Ghana",40680,0,0
"307","Ghana",40681,0,0
"308","Ghana",40682,2,0.4
"309","Ghana",40683,1,0.2
"310","Ghana",40684,2,0.4
"311","Ghana",40685,0,0
"312","Ghana",40686,0,0
"313","Ghana",40687,0,0
"314","Ghana",40688,0,0
"315","Ghana",40689,0,0
"316","Ghana",40690,0,0
"317","Ghana",40691,0,0
"318","Ghana",40692,0,0
"319","Ghana",40693,2,0.4
"320","Ghana",40694,1,0.2
"321","Ghana",40695,0,0
"322","Ghana",40696,1,0.2
"323","Ghana",40697,0,0
"324","Ghana",40698,0,0
"325","Ghana",40699,0,0
"326","Ghana",40700,0,0
"327","Ghana",40701,0,0
"328","Ghana",40702,0,0
"329","Ghana",40703,0,0
"330","Ghana",40704,2,0.5
"331","Ghana",40705,0,0
"332","Ghana",40706,0,0
"333","Ghana",40707,1,0.2
"334","Ghana",40708,0,0
"335","Ghana",40709,1,0.25
"336","Ghana",40710,2,0.4
"337","Ghana",40711,0,0
"338","Ghana",40712,0,0
"339","Ghana",40713,0,0
"340","Ghana",40714,4,0.8
"341","Ghana",40715,2,0.4
"342","Ghana",40716,0,0
"343","Ghana",40717,0,0
"344","Ghana",40718,2,0.4
"345","Ghana",40719,1,0.2
"346","Ghana",40720,0,0
"347","Ghana",40721,2,0.4
"348","Ghana",40722,1,0.2
"349","Ghana",40723,0,0
"350","Ghana",40724,2,0.4
"351","Ghana",40725,1,0.2
"352","Ghana",40726,0,0
"353","Ghana",40727,0,0
"354","Ghana",40728,2,0.4
"355","Ghana",40729,2,0.4
"356","Ghana",40730,0,0
"357","Ghana",40731,1,0.2
"358","Ghana",40732,3,0.6
"359","Ghana",40733,1,0.2
"360","Ghana",40734,2,0.4
"361","Ghana",40735,0,0
"362","Ghana",40736,0,0
"363","Ghana",40737,4,0.8
"364","Ghana",40738,3,0.6
"365","Ghana",40739,0,0
"366","Ghana",40740,0,0
"367","Ghana",40741,0,0
"368","Ghana",40742,2,0.5
"369","Ghana",40743,1,0.2
"370","Ghana",40744,0,0
"371","Ghana",40745,1,0.2
"372","Ghana",40746,0,0
"373","Ghana",40747,2,0.4
"374","Ghana",40748,0,0
"375","Ghana",40749,1,0.2
"376","Ghana",40750,0,0
"377","Ghana",40751,1,0.2
"378","Ghana",40752,0,0
"379","Ghana",40753,0,0
"380","Ghana",40754,3,0.6
"381","Ghana",40755,3,0.6
"382","Ghana",40756,0,0
"383","Ghana",40757,1,0.2
"384","Ghana",40758,0,0
"385","Ghana",40759,4,0.8
"386","Ghana",40760,0,0
"387","Ghana",40761,1,0.2
"388","Ghana",40762,0,0
"389","Ghana",40763,0,0
"390","Ghana",40764,0,0
"391","Ghana",40765,0,0
"392","Ghana",40766,1,0.2
"393","Ghana",40767,2,0.4
"394","Ghana",40768,0,0
"395","Ghana",40769,0,0
"396","Ghana",40770,1,0.2
"397","Ghana",40771,0,0
"398","Ghana",40772,3,1
"399","Ghana",40773,0,0
"400","Ghana",40774,2,0.4
"401","Ghana",40775,2,0.5
"402","Ghana",40776,1,0.333333333333333
"403","Ghana",40777,0,0
"404","Ghana",40778,2,0.4
"405","Ghana",40779,4,0.8
"406","Ghana",40780,3,0.6
"407","Ghana",40781,0,0
"408","Ghana",40782,1,0.2
"409","Ghana",40783,5,1
"410","Ghana",40784,1,0.2
"411","Ghana",40785,0,0
"412","Ghana",40786,2,0.4
"413","Ghana",40787,1,0.2
"414","Ghana",40788,1,0.2
"415","Ghana",40789,2,0.4
"416","Ghana",40790,2,0.4
"417","Ghana",40791,1,0.2
"418","Ghana",40792,0,0
"419","Ghana",40793,2,0.4
"420","Ghana",40794,0,0
"421","Ghana",40795,2,0.4
"422","Ghana",40796,1,0.2
"423","Ghana",40797,0,0
"424","Ghana",40798,0,0
"425","Ghana",40799,2,0.4
"426","Ghana",40800,1,0.2
"427","Ghana",40801,0,0
"428","Ghana",40802,3,0.6
"429","Ghana",40803,1,0.2
"430","Ghana",40804,1,0.25
"431","Ghana",40805,0,0
"432","Ghana",40806,1,0.2
"433","Ghana",40807,5,1
"434","Ghana",40808,2,0.4
"435","Ghana",40809,2,0.4
"436","Ghana",40810,1,0.2
"437","Ghana",40811,0,0
"438","Ghana",40812,1,0.2
"439","Ghana",40813,0,0
"440","Ghana",40814,1,0.2
"441","Ghana",40815,2,0.4
"442","Ghana",40816,3,0.6
"443","Ghana",40817,4,0.8
"444","Ghana",40818,4,1
"445","Ghana",40819,1,0.2
"446","Ghana",40820,4,1
"447","Ghana",40821,1,0.2
"448","Ghana",40822,0,0
"449","Ghana",40823,1,0.2
"450","Ghana",40824,1,0.2
"451","Ghana",40825,0,0
"452","Ghana",40826,2,0.5
"453","Ghana",40827,1,0.2
"454","Ghana",40828,1,0.2
"455","Ghana",40829,1,0.2
"456","Ghana",40830,0,0
"457","Ghana",40831,5,1
"458","Ghana",40832,2,0.4
"459","Ghana",40833,2,0.4
"460","Ghana",40834,2,0.4
"461","Ghana",40835,0,0
"462","Ghana",40836,1,0.2
"463","Ghana",40837,0,0
"464","Ghana",40838,3,0.6
"465","Ghana",40839,1,0.2
"466","Thailand",30699,0,0
"467","Thailand",30700,1,0.0833333333333333
"468","Thailand",30701,1,0.0833333333333333
"469","Thailand",30702,1,0.0833333333333333
"470","Thailand",30703,1,0.0833333333333333
"471","Thailand",30704,0,0
"472","Thailand",30705,1,0.0833333333333333
"473","Thailand",30706,0,0
"474","Thailand",30707,1,0.166666666666667
"475","Thailand",30708,0,0
"476","Thailand",30709,0,0
"477","Thailand",30710,0,0
"478","Thailand",30711,0,0
"479","Thailand",30712,0,0
"480","Thailand",30713,2,0.25
"481","Thailand",30714,2,0.166666666666667
"482","Thailand",30715,1,0.0833333333333333
"483","Thailand",30716,1,0.25
"484","Thailand",30717,1,0.0833333333333333
"485","Thailand",30718,0,0
"486","Thailand",30719,0,0
"487","Thailand",30720,1,0.0833333333333333
"488","Thailand",30721,0,0
"489","Thailand",30722,1,0.0833333333333333
"490","Thailand",30723,0,0
"491","Thailand",30724,1,0.0833333333333333
"492","Thailand",30725,0,0
"493","Thailand",30726,1,0.0833333333333333
"494","Thailand",30727,1,0.0833333333333333
"495","Thailand",30728,0,0
"496","Thailand",30729,1,0.0833333333333333
"497","Thailand",30730,0,0
"498","Thailand",30731,0,0
"499","Thailand",30732,0,0
"500","Thailand",30733,1,0.0833333333333333
"501","Thailand",30734,0,0
"502","Thailand",30735,0,0
"503","Thailand",30736,0,0
"504","Thailand",30737,0,0
"505","Thailand",30738,0,0
"506","Thailand",30739,0,0
"507","Thailand",30740,1,0.0833333333333333
"508","Thailand",30741,1,0.0833333333333333
"509","Thailand",30742,0,0
"510","Thailand",30743,1,0.0833333333333333
"511","Thailand",30744,0,0
"512","Thailand",30745,1,0.166666666666667
"513","Thailand",30746,0,0
"514","Thailand",30747,0,0
"515","Thailand",30748,0,0
"516","Thailand",30749,0,0
"517","Thailand",30750,1,0.0833333333333333
"518","Thailand",30751,1,0.0833333333333333
"519","Thailand",30752,1,0.0833333333333333
"520","Thailand",30753,0,0
"521","Thailand",30754,0,0
"522","Thailand",30755,1,0.0833333333333333
"523","Thailand",30756,1,0.0833333333333333
"524","Thailand",30757,0,0
"525","Thailand",30758,0,0
"526","Thailand",30759,1,0.0833333333333333
"527","Thailand",30760,1,0.0833333333333333
"528","Thailand",30761,1,0.0833333333333333
"529","Thailand",30762,0,0
"530","Thailand",30763,2,0.166666666666667
"531","Thailand",30764,1,0.25
"532","Thailand",30765,1,0.166666666666667
"533","Thailand",30766,0,0
"534","Thailand",30767,0,0
"535","Thailand",30768,1,0.166666666666667
"536","Thailand",30769,1,0.166666666666667
"537","Thailand",30770,1,0.166666666666667
"538","Thailand",30771,0,0
"539","Thailand",30772,1,0.0833333333333333
"540","Thailand",30773,0,0
"541","Thailand",30774,1,0.25
"542","Thailand",30775,1,0.25
"543","Thailand",30776,0,0
"544","Thailand",30777,1,0.333333333333333
"545","Thailand",30778,0,0
"546","Thailand",30779,0,0
"547","Thailand",30780,0,0
"548","Thailand",30781,1,0.25
"549","Thailand",30782,0,0
"550","Thailand",30783,1,0.166666666666667
"551","Thailand",30784,0,0
"552","Thailand",30785,1,0.166666666666667
"553","Thailand",30786,0,0
"554","Thailand",30787,0,0
"555","Thailand",30788,1,0.25
"556","Thailand",30789,1,0.0833333333333333
"557","Thailand",30790,0,0
"558","Thailand",30791,0,NA
"559","Thailand",30792,0,0
"560","Thailand",30793,1,0.166666666666667
"561","Thailand",30794,1,0.0833333333333333
"562","Thailand",30795,0,0
"563","Thailand",30796,0,0
"564","Thailand",30797,0,0
"565","Thailand",30798,1,0.166666666666667
"566","Thailand",30799,1,0.0833333333333333
"567","Thailand",30800,0,0
"568","Thailand",30801,0,0
"569","Thailand",30802,0,0
"570","Thailand",30803,1,0.166666666666667
"571","Thailand",30804,1,0.0833333333333333
"572","Thailand",30805,0,0
"573","Thailand",30806,0,0
"574","Thailand",30807,0,0
"575","Thailand",30808,1,0.0833333333333333
"576","Thailand",30809,1,0.0833333333333333
"577","Thailand",30810,1,0.0833333333333333
"578","Thailand",30811,0,0
"579","Thailand",30812,1,0.0833333333333333
"580","Thailand",30813,1,0.166666666666667
"581","Thailand",30814,2,0.166666666666667
"582","Thailand",30815,1,0.0833333333333333
"583","Thailand",30816,0,0
"584","Thailand",30817,0,0
"585","Thailand",30818,1,0.0833333333333333
"586","Thailand",30819,2,0.166666666666667
"587","Thailand",30820,1,0.0833333333333333
"588","Thailand",30821,0,0
"589","Thailand",30822,0,0
"590","Thailand",30823,0,0
"591","Thailand",30824,1,0.0833333333333333
"592","Thailand",30825,1,0.0833333333333333
"593","Thailand",30826,1,0.166666666666667
"594","Thailand",30827,0,0
"595","Thailand",30828,1,0.0833333333333333
"596","Thailand",30829,0,0
"597","Thailand",30830,1,0.0833333333333333
"598","Thailand",30831,0,0
"599","Thailand",30832,0,0
"600","Thailand",30833,0,0
"601","Thailand",30834,1,0.0833333333333333
"602","Thailand",30835,1,0.166666666666667
"603","Thailand",30836,0,0
"604","Thailand",30837,1,0.0833333333333333
"605","Thailand",30838,0,0
"606","Thailand",30839,1,0.0833333333333333
"607","Thailand",30840,0,0
"608","Thailand",30841,1,0.166666666666667
"609","Thailand",30842,1,0.0833333333333333
"610","Thailand",30843,1,0.0833333333333333
"611","Thailand",30844,1,0.0833333333333333
"612","Thailand",30845,1,0.0833333333333333
"613","Thailand",30846,1,0.0833333333333333
"614","Thailand",30847,1,0.0833333333333333
"615","Thailand",30848,0,0
"616","Thailand",30849,1,0.0833333333333333
"617","Thailand",30850,1,0.0833333333333333
"618","Thailand",30851,0,0
"619","Thailand",30852,0,0
"620","Thailand",30853,1,0.0833333333333333
"621","Thailand",30854,1,0.0833333333333333
"622","Thailand",30855,0,0
"623","Thailand",30856,1,0.166666666666667
"624","Thailand",30857,0,0
"625","Thailand",30858,1,0.0833333333333333
"626","Thailand",30859,1,0.0833333333333333
"627","Thailand",30860,0,0
"628","Thailand",30861,0,0
"629","Thailand",30862,1,0.166666666666667
"630","Thailand",30863,0,0
"631","Thailand",30864,1,0.0833333333333333
"632","Thailand",30865,1,0.166666666666667
"633","Thailand",30866,0,0
"634","Thailand",30867,1,0.0833333333333333
"635","Thailand",30868,0,0
"636","Thailand",30869,1,0.0833333333333333
"637","Thailand",30870,0,0
"638","Thailand",30871,2,0.25
"639","Thailand",30872,1,0.333333333333333
"640","Thailand",30873,0,0
"641","Thailand",30874,2,0.166666666666667
"642","Thailand",30875,0,0
"643","Thailand",30876,1,0.166666666666667
"644","Thailand",30877,1,0.0833333333333333
"645","Thailand",30878,0,0
"646","Thailand",30879,1,0.166666666666667
"647","Thailand",30880,0,0
"648","Thailand",30881,0,0
"649","Thailand",30882,1,0.166666666666667
"650","Thailand",30883,1,0.0833333333333333
"651","Thailand",30884,1,0.166666666666667
"652","Thailand",30885,1,0.0833333333333333
"653","Thailand",30886,0,0
"654","Thailand",30887,0,0
"655","Thailand",30888,0,0
"656","Thailand",30889,0,0
"657","Thailand",30890,0,0
"658","Thailand",30891,0,0
"659","Thailand",30892,0,0
"660","Thailand",30893,0,0
"661","Thailand",30894,0,0
"662","Thailand",30895,1,0.0833333333333333
"663","Thailand",30896,1,0.166666666666667
"664","Thailand",30897,0,0
"665","Thailand",30898,0,0
"666","Thailand",30899,1,0.0833333333333333
"667","Thailand",30900,0,0
"668","Thailand",30901,1,0.0833333333333333
"669","Thailand",30902,1,1
"670","China",20401,0,0
"671","China",20402,1,0.2
"672","China",20403,0,0
"673","China",20404,0,0
"674","China",20405,0,0
"675","China",20406,0,0
"676","China",20407,1,0.2
"677","China",20408,0,0
"678","China",20409,0,0
"679","China",20410,0,0
"680","China",20411,2,0.4
"681","China",20412,0,0
"682","China",20413,0,0
"683","China",20414,0,0
"684","China",20415,0,0
"685","China",20416,0,0
"686","China",20417,0,0
"687","China",20418,0.5,0.1
"688","China",20419,0,0
"689","China",20420,0,0
"690","China",20421,0,0
"691","China",20422,0,0
"692","China",20423,2,0.4
"693","China",20424,0,0
"694","China",20425,0,0
"695","China",20426,2,0.4
"696","China",20427,0,0
"697","China",20428,0.5,0.1
"698","China",20429,0,0
"699","China",20430,1,0.2
"700","China",20431,0,0
"701","China",20432,0,0
"702","China",20433,0,0
"703","China",20434,0,0
"704","China",20435,0.5,0.1
"705","China",20436,0,0
"706","China",20437,3,0.6
"707","China",20438,1,0.2
"708","China",20439,1.5,0.3
"709","China",20440,0,0
"710","China",20441,0,0
"711","China",20442,0,0
"712","China",20443,0,0
"713","China",20444,1,0.2
"714","China",20445,0,0
"715","China",20446,0,0
"716","China",20447,1,0.2
"717","China",20448,0,0
"718","China",20449,0,0
"719","China",20450,2,0.4
"720","China",20451,0,0
"721","China",20452,0,0
"722","China",20453,1,0.2
"723","China",20454,2,0.4
"724","China",20455,4,0.8
"725","China",20456,2,0.4
"726","China",20457,2,0.4
"727","China",20458,3,0.6
"728","China",20459,0,0
"729","China",20460,0,0
"730","China",20461,1,0.2
"731","China",20462,0,0
"732","China",20463,1,0.2
"733","China",20464,0,0
"734","China",20465,0,0
"735","China",20466,0,0
"736","China",20467,1,0.2
"737","China",20468,0,0
"738","China",20469,0,0
"739","China",20470,0,0
"740","China",20471,0,0
"741","China",20472,1,0.2
"742","China",20473,0,0
"743","China",20474,0,0
"744","China",20475,0,0
"745","China",20476,0,0
"746","China",20477,3,0.6
"747","China",20478,0,0
"748","China",20479,1,0.2
"749","China",20480,0,0
"750","China",20481,0,0
"751","China",20482,2,0.4
"752","China",20483,1,0.2
"753","China",20484,1,0.2
"754","China",20485,0,0
"755","China",20486,2,0.4
"756","China",20487,0,0
"757","China",20488,0,0
"758","China",20489,0,0
"759","China",20490,1,0.2
"760","China",20491,0,0
"761","China",20492,1,0.2
"762","China",20493,0,0
"763","China",20494,2,0.4
"764","China",20495,0,0
"765","China",20496,0,0
"766","China",20497,0,0
"767","China",20498,0,0
"768","China",20499,0,0
"769","China",20500,1,0.2
"770","China",20501,0,0
"771","China",20502,0,0
"772","China",20503,0,0
"773","China",20504,2,0.4
"774","China",20505,0,0
"775","China",20506,0,0
"776","China",20507,2,0.4
"777","China",20508,0,0
"778","China",20509,0.5,0.1
"779","China",20510,0,0
"780","China",20511,1,0.2
"781","China",20512,0,0
"782","China",20513,0.5,0.1
"783","China",20514,0,0
"784","China",20515,0,0
"785","China",20516,2,0.4
"786","China",20517,0,0
"787","China",20518,0,0
"788","China",20519,0,0
"789","China",20520,0,0
"790","China",20521,1.5,0.3
"791","China",20522,0,0
"792","China",20523,1,0.2
"793","China",20524,0,0
"794","China",20525,0.5,0.1
"795","China",20526,1,0.2
"796","China",20527,0,0
"797","China",20528,0,0
"798","China",20529,2,0.4
"799","China",20530,2,0.4
"800","China",20531,1,0.2
"801","China",20532,0,0
"802","China",20533,0,0
"803","China",20534,1,0.2
"804","China",20535,0,0
"805","China",20536,1,0.2
"806","China",20537,5,1
"807","China",20538,2,0.5
"808","China",20539,0,0
"809","China",20540,1,0.2
"810","China",20541,0,0
"811","China",20542,0,0
"812","China",20543,1,0.2
"813","China",20544,0,0
"814","China",20545,1,0.2
"815","China",20546,3,0.6
"816","China",20547,2,0.4
"817","China",20548,2,0.4
"818","China",20549,1,0.2
"819","China",20550,2,0.4
"820","China",20551,2,0.4
"821","China",20552,2.5,0.5
"822","China",20553,1,0.2
"823","China",20554,2,0.4
"824","China",20555,0,0
"825","China",20556,0,0
"826","China",20557,0,0
"827","China",20558,0,0
"828","China",20559,1,0.2
"829","China",20560,0.5,0.1
"830","Vanuatu",50801,5,1
"831","Vanuatu",50802,5,1
"832","Vanuatu",50803,3,0.6
"833","Vanuatu",50804,1,0.2
"834","Vanuatu",50805,2,0.4
"835","Vanuatu",50806,1,0.2
"836","Vanuatu",50807,4,0.8
"837","Vanuatu",50808,2,0.4
"838","Vanuatu",50809,2,0.4
"839","Vanuatu",50810,2,0.4
"840","Vanuatu",50811,2,0.4
"841","Vanuatu",50812,4,0.8
"842","Vanuatu",50813,3,0.6
"843","Vanuatu",50814,4,0.8
"844","Vanuatu",50815,2,0.4
"845","Vanuatu",50816,4,0.8
"846","Vanuatu",50817,1,0.2
"847","Vanuatu",50818,3,0.6
"848","Vanuatu",50819,3,0.6
"849","Vanuatu",50820,2,0.4
"850","Vanuatu",50821,4,0.8
"851","Vanuatu",50822,5,1
"852","Vanuatu",50823,0,0
"853","Vanuatu",50824,4,0.8
"854","Vanuatu",50825,4,0.8
"855","Vanuatu",50826,1,0.2
"856","Vanuatu",50827,1,0.2
"857","Vanuatu",50828,4,0.8
"858","Vanuatu",50829,1,0.2
"859","Vanuatu",50830,4,0.8
"860","Vanuatu",50831,5,1
"861","Vanuatu",50832,0,0
"862","Vanuatu",50833,1,0.2
"863","Vanuatu",50834,3,0.6
"864","Vanuatu",50835,4,0.8
"865","Vanuatu",50836,5,1
"866","Vanuatu",50837,4,0.8
"867","Vanuatu",50838,3,0.6
"868","Vanuatu",50839,0,0
"869","Vanuatu",50840,0,0
"870","Vanuatu",50841,5,1
"871","Vanuatu",50842,1,0.2
"872","Vanuatu",50843,5,1
"873","Vanuatu",50844,3,0.6
"874","Vanuatu",50845,5,1
"875","Vanuatu",50846,5,1
"876","Vanuatu",50847,4,0.8
"877","Vanuatu",50848,5,1
"878","Vanuatu",50849,4,0.8
"879","Vanuatu",50850,1,0.2
"880","Vanuatu",50851,0,0
"881","Vanuatu",50852,3,0.6
"882","Vanuatu",50853,3,0.6
"883","Vanuatu",50854,0,0
"884","Vanuatu",50855,1,0.2
"885","Vanuatu",50856,2,0.4
"886","Vanuatu",50857,1,0.2
"887","Vanuatu",50858,4,0.8
"888","Vanuatu",50859,5,1
"889","Vanuatu",50860,0,0
"890","Vanuatu",50861,1,0.2
"891","Vanuatu",50862,3,0.6
"892","Vanuatu",50863,1,0.2
"893","Vanuatu",50864,3,0.6
"894","Vanuatu",50865,0,0
"895","Vanuatu",50866,0,0
"896","Vanuatu",50867,1,0.2
"897","Vanuatu",50868,4,0.8
"898","Vanuatu",50869,2,0.4
"899","Vanuatu",50870,4,0.8
"900","Vanuatu",50871,4,0.8
"901","Vanuatu",50872,5,1
"902","Vanuatu",50873,4,0.8
